epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7611,0.63833,2.07907,1.08788,0.00336,1,0.97039,0.92135,0.29214,2.38037,0.90145,0.00038,0.00038,0.00038
2,58.6518,0.69029,1.28787,1.08315,0.402,0.4125,0.28727,0.05529,3.11114,2.44629,5.55433,0.000764556,0.000764556,0.000764556
3,78.0972,0.73345,0.92911,1.12151,0.74213,0.7,0.8074,0.40193,1.72137,2.08214,2.89514,0.00113327,0.00113327,0.00113327
4,97.5457,0.71258,0.79086,1.08869,0.81233,0.81161,0.88811,0.64514,0.72445,1.51095,1.1775,0.00148615,0.00148615,0.00148615
5,119.697,0.69703,0.74218,1.07433,0.96599,0.9375,0.98208,0.86833,0.51631,0.98471,1.01804,0.00182318,0.00182318,0.00182318
6,147.744,0.65563,0.70157,1.04792,0.69001,0.6375,0.617,0.3322,1.01272,2.20957,1.81337,0.001802,0.001802,0.001802
7,173.275,0.7153,0.69206,1.05908,0.91198,0.875,0.93768,0.74661,0.68297,1.01702,1.14966,0.0017624,0.0017624,0.0017624
8,206.868,0.66804,0.65208,1.03122,0.79313,0.425,0.42143,0.34806,0.67543,1.08646,1.10567,0.0017228,0.0017228,0.0017228
9,238.056,0.6935,0.63258,1.06582,0.83514,0.56997,0.59619,0.50597,0.5749,0.95065,1.01086,0.0016832,0.0016832,0.0016832
10,273.224,0.62896,0.61446,1.03238,0.82921,0.42483,0.47314,0.38025,0.65634,1.1277,1.0769,0.0016436,0.0016436,0.0016436
11,309.107,0.63513,0.5807,1.03381,0.51979,0.41948,0.37598,0.28535,0.75455,1.19986,1.16887,0.001604,0.001604,0.001604
12,344.738,0.59521,0.54983,1.01481,0.98774,0.6,0.59613,0.54913,0.39893,0.51536,0.92707,0.0015644,0.0015644,0.0015644
13,378.624,0.54136,0.50751,0.99801,0.99829,0.675,0.67601,0.62058,0.41361,0.47235,0.93093,0.0015248,0.0015248,0.0015248
14,414.136,0.5675,0.50642,1.01629,0.99791,0.4875,0.48684,0.45254,0.38806,0.45944,0.92682,0.0014852,0.0014852,0.0014852
15,455.176,0.55969,0.49099,1.00012,0.99779,0.5875,0.58676,0.54988,0.34317,0.37285,0.9102,0.0014456,0.0014456,0.0014456
16,490.391,0.57986,0.51359,1.01576,0.9987,0.85,0.84575,0.81018,0.32153,0.35947,0.90071,0.001406,0.001406,0.001406
17,528.83,0.57791,0.49881,1.00894,0.99835,0.6,0.59712,0.58391,0.27605,0.33883,0.89337,0.0013664,0.0013664,0.0013664
18,559.053,0.53467,0.47598,0.99177,0.882,0.8625,0.93851,0.85361,0.42037,0.68568,0.97074,0.0013268,0.0013268,0.0013268
19,611.982,0.51323,0.46431,1.00001,0.99755,0.3625,0.36837,0.34858,0.36137,0.41132,0.9174,0.0012872,0.0012872,0.0012872
20,654.204,0.51567,0.44255,0.98161,0.99797,0.475,0.4783,0.46552,0.28251,0.36928,0.89766,0.0012476,0.0012476,0.0012476
21,696.276,0.5261,0.44305,0.99095,0.99858,0.7625,0.76645,0.75612,0.22768,0.28822,0.88486,0.001208,0.001208,0.001208
22,725.203,0.51844,0.44566,0.99514,0.99896,1,0.995,0.97424,0.26827,0.32189,0.89245,0.0011684,0.0011684,0.0011684
23,758.421,0.49892,0.4284,0.98165,1,0.98662,0.99464,0.97426,0.25283,0.41742,0.89207,0.0011288,0.0011288,0.0011288
24,790.169,0.48055,0.43616,0.98303,0.98651,1,0.99475,0.96897,0.2756,0.36715,0.89876,0.0010892,0.0010892,0.0010892
25,826.921,0.51131,0.43293,0.98902,0.99577,0.8125,0.81616,0.80201,0.2513,0.31575,0.89947,0.0010496,0.0010496,0.0010496
26,857.652,0.46747,0.41459,0.97989,0.98671,1,0.99475,0.97755,0.25063,0.35864,0.89315,0.00101,0.00101,0.00101
27,889.143,0.46583,0.40038,0.97055,0.9996,1,0.995,0.98043,0.21181,0.33975,0.88676,0.0009704,0.0009704,0.0009704
28,922.601,0.49032,0.40478,0.98163,0.99914,0.8375,0.83644,0.82193,0.2587,0.26413,0.89484,0.0009308,0.0009308,0.0009308
29,955.58,0.51126,0.41891,0.99696,0.99915,1,0.995,0.98191,0.22754,0.25774,0.88297,0.0008912,0.0008912,0.0008912
30,996.762,0.48475,0.40442,0.97703,0.99895,0.75,0.74752,0.74037,0.2279,0.24433,0.8841,0.0008516,0.0008516,0.0008516
31,1028.38,0.4445,0.38436,0.96452,0.99926,1,0.995,0.98141,0.22165,0.24468,0.8874,0.000812,0.000812,0.000812
32,1056.65,0.44287,0.37239,0.95749,0.99923,1,0.995,0.9909,0.17937,0.2498,0.87681,0.0007724,0.0007724,0.0007724
33,1086.7,0.44422,0.38424,0.96441,0.99923,1,0.995,0.99045,0.2009,0.2437,0.88043,0.0007328,0.0007328,0.0007328
34,1115.23,0.43764,0.38868,0.96485,0.99927,1,0.995,0.98799,0.2046,0.24367,0.88022,0.0006932,0.0006932,0.0006932
35,1149.2,0.43824,0.38387,0.97327,0.99927,1,0.995,0.98633,0.20637,0.26088,0.87913,0.0006536,0.0006536,0.0006536
