epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.966,0.85135,3.83509,1.36417,0,0,0,0,0.26409,4.33033,1.05815,2.502e-05,2.502e-05,2.502e-05
2,22.1707,0.76482,3.75607,1.30054,0,0,0,0,0.18863,4.29594,0.98079,5.31366e-05,5.31366e-05,5.31366e-05
3,26.504,0.534,3.3487,1.13781,0,0,0,0,0.20287,4.25098,0.92533,8.00974e-05,8.00974e-05,8.00974e-05
4,30.8727,0.50839,2.9308,1.10652,0.58491,0.31,0.41207,0.41048,0.18276,4.21506,0.89722,0.000105902,0.000105902,0.000105902
5,35.3725,0.51686,2.45066,1.09361,0.49727,0.91,0.49983,0.49455,0.21643,4.1773,0.93004,0.000130551,0.000130551,0.000130551
6,39.8851,0.52083,2.00162,1.08632,0.50251,1,0.55187,0.5396,0.24273,4.04425,0.93293,0.000154044,0.000154044,0.000154044
7,44.8432,0.48424,1.62004,1.08238,0.47619,1,0.54982,0.54145,0.24575,3.71706,0.93313,0.000176381,0.000176381,0.000176381
8,52.7435,0.44492,1.33137,1.05689,0.37594,1,0.52107,0.51252,0.25381,3.22999,0.93793,0.000197562,0.000197562,0.000197562
9,60.3435,0.43068,1.09855,1.0533,0.49396,0.94687,0.50905,0.48808,0.31959,2.64937,0.96566,0.000217587,0.000217587,0.000217587
10,67.3507,0.41681,0.92431,1.05223,0.4996,0.9984,0.50514,0.4908,0.28591,2.28996,0.96142,0.000236457,0.000236457,0.000236457
11,75.0796,0.39588,0.80564,1.05274,0.50202,1,0.50765,0.5022,0.24571,2.03176,0.92531,0.00025417,0.00025417,0.00025417
12,82.4406,0.38202,0.71693,1.04056,0.5035,1,0.51079,0.50911,0.17599,1.8579,0.89096,0.000270727,0.000270727,0.000270727
13,89.8614,0.38006,0.68817,1.04005,0.50141,1,0.51514,0.5133,0.16536,1.8048,0.88089,0.000286129,0.000286129,0.000286129
14,97.15,0.35994,0.63816,1.02792,0.50195,1,0.55551,0.55305,0.16278,1.77943,0.8861,0.000300374,0.000300374,0.000300374
15,104.601,0.35789,0.60547,1.0231,0.50226,1,0.51084,0.50983,0.1758,1.77581,0.89124,0.000301408,0.000301408,0.000301408
16,111.884,0.38095,0.60754,1.02455,0.5065,1,0.56161,0.56075,0.17894,1.74201,0.88474,0.000293151,0.000293151,0.000293151
17,119.465,0.36891,0.58052,1.01322,0.50294,1,0.54039,0.53515,0.20203,1.68425,0.89853,0.000284894,0.000284894,0.000284894
18,126.907,0.3615,0.56613,1.00577,0.49974,1,0.52332,0.52332,0.14908,1.70379,0.87298,0.000276638,0.000276638,0.000276638
19,134.369,0.35772,0.54534,1.01535,0.49972,1,0.55054,0.54806,0.16587,1.60452,0.88748,0.000268381,0.000268381,0.000268381
20,142.07,0.35211,0.52955,1.00754,0.49961,1,0.56724,0.56724,0.18877,1.70506,0.88911,0.000260125,0.000260125,0.000260125
21,149.352,0.33869,0.51605,0.9914,0.49993,1,0.52451,0.52319,0.1719,1.61983,0.88319,0.000251868,0.000251868,0.000251868
22,156.647,0.32583,0.49468,0.98734,0.50281,1,0.52364,0.5176,0.18844,1.67122,0.9016,0.000243611,0.000243611,0.000243611
23,164.152,0.321,0.48429,0.98816,0.49982,1,0.52132,0.52132,0.12368,1.70936,0.86525,0.000235355,0.000235355,0.000235355
24,169.995,0.31449,0.47075,0.98239,0.49987,1,0.52851,0.52766,0.1532,1.75281,0.87359,0.000227098,0.000227098,0.000227098
25,175.083,0.31688,0.46349,0.97694,0.49986,1,0.4975,0.49707,0.13823,1.88208,0.87268,0.000218842,0.000218842,0.000218842
26,179.701,0.30676,0.46234,0.98178,0.49988,1,0.50515,0.50515,0.14409,1.7817,0.87419,0.000210585,0.000210585,0.000210585
27,184.304,0.31193,0.45708,0.98048,0.49986,1,0.50769,0.50769,0.12206,1.77086,0.86838,0.000202328,0.000202328,0.000202328
28,188.926,0.31046,0.45216,0.98261,0.50078,1,0.5249,0.5249,0.10302,1.91886,0.86457,0.000194072,0.000194072,0.000194072
29,193.513,0.29106,0.43224,0.97305,0.49981,1,0.54596,0.54596,0.11751,1.71299,0.86651,0.000185815,0.000185815,0.000185815
30,198.096,0.29233,0.42545,0.97166,0.50127,1,0.54798,0.54798,0.11115,1.87733,0.86585,0.000177559,0.000177559,0.000177559
31,202.696,0.29199,0.41787,0.96925,0.49999,1,0.5518,0.5518,0.09726,1.97419,0.86404,0.000169302,0.000169302,0.000169302
32,207.722,0.29044,0.42099,0.96616,0.49989,1,0.52998,0.52998,0.12339,1.86967,0.87318,0.000161045,0.000161045,0.000161045
33,212.973,0.29419,0.4133,0.96739,0.4998,1,0.52,0.51963,0.12971,1.65721,0.8713,0.000152789,0.000152789,0.000152789
34,218.224,0.29673,0.41124,0.96985,0.49988,1,0.58144,0.58144,0.11154,1.73102,0.86818,0.000144532,0.000144532,0.000144532
35,223.394,0.28486,0.40803,0.96396,0.49991,1,0.53806,0.53773,0.0978,1.75784,0.86317,0.000136276,0.000136276,0.000136276
36,228.581,0.27382,0.39618,0.96426,0.49989,1,0.53939,0.53939,0.09226,1.84397,0.86309,0.000128019,0.000128019,0.000128019
37,233.844,0.26918,0.38965,0.95354,0.49987,1,0.50288,0.50288,0.1095,1.82252,0.86511,0.000119762,0.000119762,0.000119762
38,239.078,0.27645,0.385,0.96764,0.4999,1,0.53733,0.53733,0.09847,1.88981,0.86317,0.000111506,0.000111506,0.000111506
39,244.312,0.26981,0.37868,0.95921,0.49995,1,0.53779,0.53779,0.09103,1.93982,0.85978,0.000103249,0.000103249,0.000103249
40,249.508,0.26901,0.37512,0.95659,0.4999,1,0.50253,0.50253,0.08788,1.83016,0.86014,9.49926e-05,9.49926e-05,9.49926e-05
41,258.247,0.12406,0.70706,0.83628,0.49999,1,0.57813,0.57813,0.11486,2.31604,0.86755,8.6736e-05,8.6736e-05,8.6736e-05
42,262.739,0.09711,0.48567,0.82413,0.50954,1,0.55464,0.55414,0.12193,1.86081,0.86579,7.84794e-05,7.84794e-05,7.84794e-05
43,267.233,0.0933,0.46237,0.81825,0.5075,1,0.55,0.55,0.09807,1.68849,0.86029,7.02228e-05,7.02228e-05,7.02228e-05
44,271.731,0.08639,0.4355,0.81614,0.49996,1,0.52762,0.52762,0.09252,1.90521,0.85726,6.19662e-05,6.19662e-05,6.19662e-05
45,276.222,0.08277,0.41784,0.80496,0.49993,1,0.54117,0.54117,0.08703,1.90884,0.85713,5.37096e-05,5.37096e-05,5.37096e-05
46,280.708,0.07921,0.40819,0.81426,0.49989,1,0.543,0.543,0.07824,1.76502,0.85496,4.5453e-05,4.5453e-05,4.5453e-05
47,285.201,0.08015,0.40495,0.81004,0.49986,1,0.58221,0.58221,0.07315,1.7971,0.85487,3.71964e-05,3.71964e-05,3.71964e-05
48,289.893,0.07967,0.40063,0.81289,0.4999,1,0.58972,0.58972,0.07201,1.82771,0.85629,2.89398e-05,2.89398e-05,2.89398e-05
49,294.376,0.06947,0.38972,0.80931,0.49991,1,0.55994,0.55994,0.06621,1.88941,0.85392,2.06832e-05,2.06832e-05,2.06832e-05
50,298.872,0.06883,0.3841,0.81308,0.49991,1,0.55198,0.55198,0.06472,1.97595,0.85316,1.24266e-05,1.24266e-05,1.24266e-05
