epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80869,0.69838,1.50976,1.32256,0.85902,0.82258,0.88241,0.53724,0.78727,2.58076,1.72615,0.000653333,0.000653333,0.000653333
2,11.3932,0.69784,0.92848,1.2673,0.78718,0.725,0.75997,0.33458,2.06193,1.78858,4.00173,0.00127644,0.00127644,0.00127644
3,16.0561,0.67519,0.78713,1.23099,0.9497,0.94395,0.98395,0.78075,0.65147,0.88959,1.56671,0.00185555,0.00185555,0.00185555
4,20.7228,0.71749,0.73341,1.24714,0.96461,0.9541,0.97297,0.82625,0.59003,0.60475,1.31225,0.001802,0.001802,0.001802
5,24.0167,0.63236,0.62576,1.20347,0.99486,0.96758,0.9921,0.87966,0.44069,0.54299,1.12245,0.001736,0.001736,0.001736
6,27.1891,0.58012,0.5651,1.14847,0.91811,0.945,0.96506,0.77792,0.53466,0.59363,1.24396,0.00167,0.00167,0.00167
7,30.3213,0.58878,0.52543,1.17228,0.95258,0.995,0.99027,0.91734,0.38246,0.44113,1.0354,0.001604,0.001604,0.001604
8,33.4476,0.5681,0.50088,1.16617,0.97545,0.99348,0.9942,0.88676,0.4382,0.47058,1.12786,0.001538,0.001538,0.001538
9,36.5165,0.50593,0.44908,1.12767,0.98698,0.97,0.98994,0.8891,0.42653,0.46908,1.11194,0.001472,0.001472,0.001472
10,41.0326,0.54971,0.4847,1.14851,0.99497,0.98834,0.99485,0.95007,0.3329,0.37533,1.02356,0.001406,0.001406,0.001406
11,45.6402,0.4764,0.42987,1.10753,0.98014,0.98715,0.99367,0.94975,0.2764,0.30059,0.96546,0.00134,0.00134,0.00134
12,50.1168,0.51599,0.43642,1.14148,0.99441,0.97,0.99431,0.90613,0.42374,0.42625,1.1088,0.001274,0.001274,0.001274
13,54.6656,0.46517,0.39173,1.10271,0.98056,0.985,0.99345,0.91013,0.37393,0.37951,1.01856,0.001208,0.001208,0.001208
14,59.2488,0.45166,0.40172,1.09812,0.98015,0.98756,0.99401,0.95158,0.29987,0.36381,0.97487,0.001142,0.001142,0.001142
15,63.8366,0.43079,0.38467,1.08709,0.98993,1,0.99455,0.97409,0.22628,0.27158,0.92567,0.001076,0.001076,0.001076
16,68.4799,0.43244,0.35469,1.091,0.99782,1,0.995,0.97372,0.21882,0.25241,0.91895,0.00101,0.00101,0.00101
17,72.9926,0.43313,0.36462,1.0751,0.99008,0.99806,0.99403,0.96155,0.25406,0.26246,0.94664,0.000944,0.000944,0.000944
18,77.5731,0.41578,0.35167,1.06778,0.98962,1,0.9928,0.98162,0.19048,0.2331,0.89771,0.000878,0.000878,0.000878
19,82.2151,0.40237,0.35323,1.05735,0.9997,1,0.995,0.98872,0.18352,0.19122,0.88921,0.000812,0.000812,0.000812
20,86.7831,0.38144,0.32096,1.05406,0.99475,1,0.9948,0.98365,0.18605,0.20523,0.89064,0.000746,0.000746,0.000746
21,92.107,0.2099,0.26474,0.91951,0.98011,1,0.9945,0.98611,0.18774,0.24612,0.88752,0.00068,0.00068,0.00068
22,96.4469,0.17357,0.20125,0.88912,0.99107,1,0.9948,0.98994,0.16678,0.18369,0.86817,0.000614,0.000614,0.000614
23,101.073,0.16513,0.19444,0.88318,0.98907,1,0.9946,0.9923,0.16102,0.19268,0.86648,0.000548,0.000548,0.000548
24,105.715,0.14315,0.17684,0.868,0.99845,1,0.995,0.99321,0.13214,0.1597,0.85266,0.000482,0.000482,0.000482
25,110.339,0.13795,0.16349,0.84751,0.99972,1,0.995,0.99402,0.13261,0.13898,0.8468,0.000416,0.000416,0.000416
26,114.965,0.12204,0.15177,0.85691,0.99974,1,0.995,0.995,0.10012,0.12488,0.835,0.00035,0.00035,0.00035
27,119.638,0.11336,0.1453,0.84442,0.99973,1,0.995,0.99499,0.11112,0.13282,0.8381,0.000284,0.000284,0.000284
28,124.197,0.11473,0.13917,0.84421,0.9992,1,0.995,0.995,0.09667,0.11259,0.83076,0.000218,0.000218,0.000218
29,128.698,0.1032,0.1302,0.8425,0.99938,1,0.995,0.995,0.08985,0.10931,0.83017,0.000152,0.000152,0.000152
30,133.22,0.09731,0.12476,0.84965,0.99974,1,0.995,0.995,0.08527,0.10792,0.8296,8.6e-05,8.6e-05,8.6e-05
