epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48518,0.68713,1.74733,1.32676,0.47468,0.24,0.36893,0.16686,1.7118,3.13624,3.80481,0.000653333,0.000653333,0.000653333
2,11.6856,0.66743,0.97599,1.25099,0.49306,0.57,0.47994,0.2013,1.60182,2.76171,3.05078,0.00127644,0.00127644,0.00127644
3,16.8313,0.64826,0.81767,1.21372,0.82266,0.855,0.89313,0.48836,1.05031,1.67321,1.9534,0.00185555,0.00185555,0.00185555
4,21.8907,0.6784,0.73049,1.22676,0.80418,0.815,0.87576,0.54261,0.95352,1.53998,1.98184,0.001802,0.001802,0.001802
5,26.9771,0.62965,0.63979,1.20113,0.98258,0.945,0.98689,0.78782,0.64941,0.7357,1.3546,0.001736,0.001736,0.001736
6,31.5967,0.59276,0.56478,1.15889,0.85024,0.93675,0.94794,0.75765,0.59992,0.75935,1.40844,0.00167,0.00167,0.00167
7,36.0338,0.5686,0.53278,1.16225,0.99131,0.98,0.99427,0.90632,0.40865,0.46033,1.12228,0.001604,0.001604,0.001604
8,40.5769,0.556,0.50075,1.15442,0.94701,0.98298,0.987,0.74784,0.8484,0.62865,2.07467,0.001538,0.001538,0.001538
9,43.9963,0.51539,0.44741,1.12753,0.97777,1,0.99415,0.92122,0.35474,0.30039,1.0265,0.001472,0.001472,0.001472
10,49.0457,0.55793,0.47028,1.15221,0.74172,0.795,0.76175,0.33447,1.95647,1.15342,4.23781,0.001406,0.001406,0.001406
11,53.9935,0.49283,0.41947,1.11826,0.97493,0.99,0.9936,0.92071,0.33235,0.39011,1.02765,0.00134,0.00134,0.00134
12,58.8241,0.51171,0.42998,1.13783,0.98846,0.99,0.99394,0.90552,0.36448,0.41149,1.06746,0.001274,0.001274,0.001274
13,63.8388,0.45933,0.37307,1.09684,0.98862,0.99,0.99475,0.94712,0.30246,0.31206,0.98545,0.001208,0.001208,0.001208
14,68.5308,0.46141,0.3814,1.10261,0.96806,0.90939,0.97089,0.88352,0.38814,0.62247,1.07283,0.001142,0.001142,0.001142
15,72.2711,0.43727,0.37413,1.08497,0.98386,0.99,0.9925,0.96088,0.26992,0.26221,0.97278,0.001076,0.001076,0.001076
16,75.8849,0.42915,0.34554,1.09058,0.97657,1,0.99375,0.9424,0.2787,0.31929,0.95949,0.00101,0.00101,0.00101
17,79.4126,0.42335,0.35491,1.07226,0.98005,0.975,0.9933,0.97679,0.23964,0.29071,0.93366,0.000944,0.000944,0.000944
18,82.9581,0.41977,0.34144,1.0706,0.99509,0.995,0.995,0.98221,0.22063,0.2323,0.91988,0.000878,0.000878,0.000878
19,86.6831,0.41058,0.34207,1.06285,0.98903,0.995,0.99485,0.98053,0.21357,0.23683,0.91014,0.000812,0.000812,0.000812
20,90.3493,0.39041,0.31817,1.05619,0.99006,1,0.99435,0.97686,0.23753,0.2054,0.95394,0.000746,0.000746,0.000746
21,95.453,0.22149,0.26518,0.92936,0.99439,1,0.99495,0.99033,0.2195,0.24059,0.90774,0.00068,0.00068,0.00068
22,100.408,0.17446,0.20407,0.88581,0.99973,1,0.995,0.99159,0.16847,0.16096,0.87117,0.000614,0.000614,0.000614
23,105.372,0.15936,0.18629,0.87942,0.9997,1,0.995,0.99393,0.13679,0.15138,0.86089,0.000548,0.000548,0.000548
24,110.338,0.14283,0.16896,0.86625,0.99971,1,0.995,0.99429,0.13568,0.14203,0.85368,0.000482,0.000482,0.000482
25,115.13,0.12905,0.14497,0.84419,0.99502,0.99913,0.995,0.99443,0.12698,0.13867,0.84475,0.000416,0.000416,0.000416
26,120.334,0.1204,0.13701,0.856,0.99973,1,0.995,0.995,0.10887,0.12222,0.83779,0.00035,0.00035,0.00035
27,125.327,0.12009,0.1353,0.84559,0.99973,1,0.995,0.99387,0.12184,0.12815,0.84779,0.000284,0.000284,0.000284
28,130.289,0.11437,0.12928,0.84428,0.99973,1,0.995,0.99499,0.10458,0.11679,0.83674,0.000218,0.000218,0.000218
29,135.23,0.1038,0.1223,0.84369,0.99973,1,0.995,0.99404,0.10086,0.10506,0.8342,0.000152,0.000152,0.000152
30,140.094,0.09785,0.11425,0.84786,0.99974,1,0.995,0.99499,0.08508,0.09588,0.82893,8.6e-05,8.6e-05,8.6e-05
